"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
20,3,13.5384615384615,13.5,1.79700605709351,19.4615384615385,18.4,6.11671731970922,12,1,13,98
20,3,14.925,15.06,0.430619708482244,20.4,19.35,3.20104149717973,4,0,4,10
20,4,NA,NA,NA,NA,NA,NA,0,0,0,86
20,4,NA,NA,NA,NA,NA,NA,0,0,0,87
20,4,12.78,13.1,1.38094170767632,19.14,18.9,1.43631472874158,5,0,5,98
20,4,NA,NA,NA,NA,NA,NA,0,0,0,10
21,1,NA,NA,NA,NA,NA,NA,0,0,0,86
21,1,NA,NA,NA,NA,NA,NA,0,0,0,87
21,1,14.0408609588,14.7,2.81151027760353,21.86,20.9,7.04577887816528,4,1,5,98
21,1,NA,NA,NA,NA,NA,NA,0,0,0,10
21,2,NA,NA,NA,NA,NA,NA,0,0,0,86
21,2,15.6,15.6,0.707106781186549,27.65,27.65,2.33345237791561,0,2,2,87
21,2,14.3666666666667,13.5,1.63630681719536,24.8111111111111,27.2,5.23580090445684,4,5,9,98
21,2,NA,NA,NA,NA,NA,NA,0,0,0,10
21,3,NA,NA,NA,NA,NA,NA,0,0,0,86
21,3,NA,NA,NA,NA,NA,NA,0,0,0,87
21,3,14.5714285714286,14.4,1.12652013699162,19.8142857142857,19.1,4.55281179471491,7,0,7,98
21,3,11.992,13.6,3.24488366509494,20.86,20.1,6.90166646542703,4,1,5,10
21,4,NA,NA,NA,NA,NA,NA,0,0,0,86
21,4,10.2,10.2,NA,16.1,16.1,NA,1,0,1,87
21,4,13.8666666666667,12.75,2.62653129938835,23.2166666666667,21.35,6.19077270352148,4,2,6,98
21,4,NA,NA,NA,NA,NA,NA,0,0,0,10
22,1,NA,NA,NA,NA,NA,NA,0,0,0,86
22,1,13.2666666666667,13.2,0.802080627701064,22.7333333333333,22.3,1.59478316185409,0,3,3,87
22,1,12.6857142857143,12.6,2.72850909926317,20.1857142857143,22.4,5.12296417172343,3,4,7,98
22,1,NA,NA,NA,NA,NA,NA,0,0,0,10
22,2,NA,NA,NA,NA,NA,NA,0,0,0,86
22,2,16.6,16.6,NA,24.7,24.7,NA,0,1,1,87
22,2,10.9,10.95,3.25637835639534,21.7666666666667,22.55,5.79954021166046,4,2,6,98
22,2,NA,NA,NA,NA,NA,NA,0,0,0,10
22,3,NA,NA,NA,NA,NA,NA,0,0,0,86
22,3,16.2,16.2,3.11126983722081,32.2,32.2,9.47523086789974,0,2,2,87
22,3,13.9,14.3,2.93598365118064,25.85,22.35,10.4123324316249,2,2,4,98
22,3,13.3277777777778,12.48,2.58863273649323,24.2111111111111,21.8,7.79157308321696,7,2,9,10
22,4,NA,NA,NA,NA,NA,NA,0,0,0,86
22,4,NA,NA,NA,NA,NA,NA,0,0,0,87
22,4,12,11,1.87616630392937,18.35,19.2,3.37387018126068,6,0,6,98
22,4,NA,NA,NA,NA,NA,NA,0,0,0,10
23,1,NA,NA,NA,NA,NA,NA,0,0,0,86
23,1,13.5,13.5,NA,24.8,24.8,NA,1,0,1,87
23,1,10.94,10.9,1.70381923923872,20.82,23,5.33685300528317,4,1,5,98
23,1,NA,NA,NA,NA,NA,NA,0,0,0,10
23,2,NA,NA,NA,NA,NA,NA,0,0,0,86
23,2,NA,NA,NA,NA,NA,NA,0,0,0,87
23,2,11.3666666666667,11.1,0.875595035770913,22.5666666666667,21.05,7.12703772030615,4,2,6,98
23,2,NA,NA,NA,NA,NA,NA,0,0,0,10
23,3,NA,NA,NA,NA,NA,NA,0,0,0,86
23,3,17.4,17.4,NA,33.2,33.2,NA,0,1,1,87
23,3,10.5833333333333,10.9,4.71143997803927,23.9333333333333,25.7,8.57453594468334,3,3,6,98
23,3,NA,NA,NA,NA,NA,NA,0,0,0,10
23,4,NA,NA,NA,NA,NA,NA,0,0,0,86
23,4,14.15,14.15,2.61629509039023,23.9,23.9,5.09116882454314,1,1,2,87
23,4,12.8571428571429,12.5,2.81653282296819,20.5428571428571,20.8,4.82281285242583,7,0,7,98
23,4,13.2266666666667,13.3,2.00175589587409,22.1666666666667,23.15,2.20333081189972,6,0,6,10
24,1,NA,NA,NA,NA,NA,NA,0,0,0,86
24,1,10.8,10.8,NA,16.5,16.5,NA,1,0,1,87
24,1,10.2,11.6,3.59722114972099,13.88,14.4,5.10950095410501,5,0,5,98
24,1,10.9275,10.64,1.51634154024305,17.05,17.9,5.39783907380228,2,2,4,10
24,2,NA,NA,NA,NA,NA,NA,0,0,0,86
24,2,13.3666666666667,13,0.635085296108588,27.0666666666667,31,8.0556398463023,2,1,3,87
24,2,12.6333333333333,12.8,2.05507501890645,21.9,18.7,10.3768974168583,2,1,3,98
24,2,NA,NA,NA,NA,NA,NA,0,0,0,10
24,3,NA,NA,NA,NA,NA,NA,0,0,0,86
24,3,NA,NA,NA,NA,NA,NA,0,0,0,87
24,3,12.96,13,1.2837445228705,20.58,17.9,6.11653496679288,5,0,5,98
24,3,NA,NA,NA,NA,NA,NA,0,0,0,10
24,4,NA,NA,NA,NA,NA,NA,0,0,0,86
24,4,10.8,10.8,NA,20.2,20.2,NA,1,0,1,87
24,4,12.8538461538462,12.9,0.744552868746723,16.4923076923077,16,3.13141648950906,9,4,13,98
24,4,NA,NA,NA,NA,NA,NA,0,0,0,10
25,1,NA,NA,NA,NA,NA,NA,0,0,0,86
25,1,NA,NA,NA,NA,NA,NA,0,0,0,87
25,1,8.24583333333333,8.1,1.18687722036944,12.4125,11.95,3.67237779860027,22,2,24,98
25,1,8.83904761904762,8.71,1.38798020433256,13.9142857142857,13.3,3.72200023029093,17,4,21,10
25,2,NA,NA,NA,NA,NA,NA,0,0,0,86
25,2,5.7,5.7,NA,9.2,9.2,NA,1,0,1,87
25,2,7.28148148148148,7.1,0.585095019920852,10.3814814814815,9.4,2.72128886842487,24,3,27,98
25,2,NA,NA,NA,NA,NA,NA,0,0,0,10
25,3,NA,NA,NA,NA,NA,NA,0,0,0,86
25,3,5.73333333333333,5.8,0.208166599946613,8.53333333333333,8.5,0.351188458428425,3,0,3,87
25,3,8.08,7.85,1.28865494952969,11.595,10.7,4.0660953725838,15,5,20,98
25,3,NA,NA,NA,NA,NA,NA,0,0,0,10
25,4,NA,NA,NA,NA,NA,NA,0,0,0,86
